nume_actiune, timestamp
Aplicatia a pornit,2024-05-16T14:40:57.184426300
Aplicatia a pornit,2024-05-16T14:41:33.129785800
Aplicatia a pornit,2024-05-16T14:41:39.598556900
Main started,2024-05-16T14:55:35.418032700
Main started,2024-05-16T14:55:54.344819600
Afisare evenimente,2024-05-16T14:55:59.011355200
Back to events,2024-05-16T14:56:05.964746300
Back to home,2024-05-16T14:56:08.146860300
Afisare evenimente,2024-05-16T14:56:13.386880700
Incercare Update event,2024-05-16T14:56:15.728172600
Back to events,2024-05-16T14:56:23.754126500
Back to home,2024-05-16T14:56:25.037122200
Afisare informatii despre artistul cu id-ul 59,2024-05-16T14:56:28.936528400
Inapoi la pagina principala,2024-05-16T14:56:33.713416
Afisare evenimente,2024-05-16T14:56:34.792400500
Back to home,2024-05-16T14:56:35.708304100
